"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"268",12,"Logan Thomas",WAS,"TE33","143","365","268.2","36.3","+22"
"269",12,"Isaiah Likely",BAL,"TE34","179","350","273.1","29.8","+3"
"270",12,"Pierre Strong Jr.",NE,"RB68","168","389","266.3","37.2","+32"
"271",12,"Isaiah McKenzie",IND,"WR101","185","343","255.5","35.3","+88"
"272",12,"Zach Evans",LAR,"RB69","173","383","274.9","37.2","+8"
"273",12,"Tyler Conklin",NYJ,"TE35","153","356","242.4","52.9","-50"
"274",12,"Kyren Williams",LAR,"RB70","164","359","271.7","37.7","+12"
"275",12,"Matt Prater",ARI,"K17","180","353","266.4","29.4","-1"
"276",12,"Luke Musgrave",GB,"TE36","127","345","247.5","55.3","-56"
"277",12,"Quez Watkins",PHI,"WR102","216","377","268.2","24.6","+78"
"278",12,"Los Angeles Rams",LAR,"DST21","184","352","272.2","38.1","-24"
"279",12,"Ty Chandler",MIN,"RB71","131","365","256.2","53.8","-20"
"280",12,"Carolina Panthers",CAR,"DST22","157","346","282.5","32.5","-44"
"281",12,"Puka Nacua",LAR,"WR103","139","374","239.7","44.9","+38"
"282",12,"Laviska Shenault Jr.",CAR,"WR104","206","360","269.6","27.6","-"
"283",12,"Isaiah Spiller",LAC,"RB72","189","379","282.6","37.2","+74"
"284",12,"Chris Boswell",PIT,"K18","179","341","287.0","25.4","-38"
"285",12,"Cedric Tillman",CLE,"WR105","206","337","264.0","28.3","+53"
"286",12,"Riley Patterson",DET,"K19","178","347","283.7","29.5","-37"
"287",12,"Seattle Seahawks",SEA,"DST23","164","355","289.0","44.9","-92"
"288",12,"Braxton Berrios",MIA,"WR106","203","345","269.5","25.8","-"
"289",13,"Deuce Vaughn",DAL,"RB73","128","382","281.9","52.0","-102"
"290",13,"Jake Moody",SF,"K20","181","342","263.3","37.9","-82"
"291",13,"Dustin Hopkins",LAC,"K21","177","339","279.9","28.0","+39"
"292",13,"New York Giants",NYG,"DST24","160","355","294.5","33.4","-66"
"293",13,"Israel Abanikanda",NYJ,"RB74","229","386","290.6","31.1","+6"
"294",13,"Nick Westbrook-Ikhine",TEN,"WR107","229","383","281.2","28.8","-"
"295",13,"Tennessee Titans",TEN,"DST25","158","353","297.4","36.4","-29"
"296",13,"Devin Duvernay",BAL,"WR108","226","395","284.5","37.4","+140"
"297",13,"Zack Moss",IND,"RB75","177","386","295.6","35.3","-15"
"298",13,"Matt Breida",NYG,"RB76","192","365","299.3","28.0","+52"
"299",13,"Michael Wilson",ARI,"WR109","151","340","236.8","46.9","+5"
"300",13,"Cairo Santos",CHI,"K22","182","353","301.5","29.1","-9"
"301",13,"Keaontay Ingram",ARI,"RB77","187","378","284.1","48.8","+20"
"302",13,"Latavius Murray",BUF,"RB78","172","377","296.2","37.0","-23"
"303",13,"Justyn Ross",KC,"WR110","145","369","249.3","50.5","-86"
"304",13,"Jordan Mason",SF,"RB79","183","389","297.5","34.5","+41"
"305",13,"D'Ernest Johnson",JAC,"RB80","185","384","295.7","38.6","+36"
"306",13,"Kayshon Boutte",NE,"WR111","216","395","289.8","34.5","+187"
"307",13,"Ka'imi Fairbairn",HOU,"K23","184","353","305.1","30.1","-20"
"308",13,"Detroit Lions",DET,"DST26","163","355","304.6","37.9","-74"
"309",13,"James Robinson",NYG,"RB81","181","370","288.0","46.9","+18"
"310",13,"David Bell",CLE,"WR112","210","396","279.6","40.2","-"
"311",13,"Malik Davis",DAL,"RB82","172","374","290.2","49.0","+5"
"312",13,"Evan Hull",IND,"RB83","168","381","297.5","46.6","-29"
"313",13,"JaMycal Hasty",JAC,"RB84","183","389","297.6","35.0","-"
"314",13,"DeWayne McBride",MIN,"RB85","181","393","304.1","39.3","-17"
"315",13,"Greg Dortch",ARI,"WR113","183","345","261.8","37.6","+34"
"316",13,"Trey Lance",SF,"QB33","116","383","302.9","53.5","-43"
"317",13,"Zonovan Knight",NYJ,"RB86","220","381","304.2","36.4","-"
"318",13,"Boston Scott",PHI,"RB87","256","393","311.5","32.7","+16"
"319",13,"Austin Hooper",LV,"TE37","232","391","307.2","25.1","-"
"320",13,"Daniel Bellinger",NYG,"TE38","231","394","309.1","32.5","+26"
"321",13,"Sean Tucker",TB,"RB88","194","392","311.8","36.6","-"
"322",13,"Michael Badgley",WAS,"K24","186","353","306.3","34.5","-53"
"323",13,"Chris Evans",CIN,"RB89","209","392","323.3","34.2","+38"
"324",13,"Minnesota Vikings",MIN,"DST27","165","355","315.9","39.2","-85"
"325",13,"Nelson Agholor",BAL,"WR114","240","378","301.8","33.0","+220"
"326",13,"Kyle Philips",TEN,"WR115","194","387","279.2","33.0","+213"
"327",13,"Jacoby Brissett",WAS,"QB34","195","397","323.8","30.8","-"
"328",13,"Brett Maher",DEN,"K25","176","353","298.5","37.1","-72"
"329",13,"Tutu Atwell",LAR,"WR116","214","345","270.7","34.2","-"
"330",13,"Cade York",CLE,"K26","212","353","303.9","28.2","-70"
"331",13,"Robbie Gould",FA,"K27","218","337","274.0","42.9","+5"
"332",13,"Hassan Haskins",TEN,"RB90","256","391","318.4","30.8","-"
"333",13,"Ronald Jones II",DAL,"RB91","238","393","324.3","30.4","-"
"334",13,"Tyrion Davis-Price",SF,"RB92","238","393","324.8","33.0","-"
